"Region","Major RGI region","Mountain range region","Country","Glacier","RGI glacier ID","RGI glacier Area","Lake name","Lake type","Longitude","Latitude","River","Date","Min. date","Max. date","Outburst mechanism","Mean lake volume","Min. lake volume","Max. lake volume","Lake volume determination method","Mean flood volume","Min. flood volume","Max. flood volume","Flood volume determination method","Peak discharge","Min. peak discharge","Max. peak discharge","Peak discharge determination method","Impact and destruction","Reported impacts (categorized)","Occurrence of economic losses","Damage to buildings","Damage to bridges","Damage to roads or paths","Damage to railroads","Damage to utilities","Damage to flood protection measures","Damage to the environment","Resettlement","Reported fatalities","Further comments","Year of First Reference Found","References","Reference comments","Lake area before","Perimeter before","Image date before","Satellite before","Scenename before","Certainty level before","Lake area after","Image date after","Perimeter after","Satellite after","Scenename after","Certainty level after","Lake area comments"
"European Alps","Central Europe","Alps","Italy","Miage Glacier","RGI60-11.03005","10,986","Lake Miage","ice/moraine","6.871334","45.779394","","2004-09-03","","","","","","","","0.323","","","estimated","","","","","","","","","","","","","","","","","","2004","Deline, P., Diolaiuti, G., Kirkbride, M. P., Mortara, G., Pavan, M. A. U. R. O., Smiraglia, C., & Tamburini, A. (2004). Drainage of ice-contact Miage Lake (Mont Blanc Massif, Italy) in September 2004. Geografia Fisica e Dinamica Quaternaria, 27(2), 113-119.; Conforti, D., Deline, P., Mortara, G., & Tamburini, A. (2005). Terrestrial scanning LiDAR technology applied to study the evolution of the ice-contact Miage lake (Mont Blanc, Italy). In Proceedings of the 9th Alpine Glaciological Meeting, Milan, Italy (pp. 24-25).","","55814","","2004-08-31","Landsat 5","2004-08-31-00_00_2004-08-31-23_59_Landsat_4-5_TM_L2_False_color","2","11051","","2004-09-07","Landsat 5","2004-09-07-00_00_2004-09-07-23_59_Landsat_4-5_TM_L2_False_color","1","unclear if the lake was totally empty afterwards"
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2005-06-12","","","floatation","","","","","1.5","","","estimated – calculated based on bathymetry and lake level measurements","11.6","","","estimated – simulated using a calibrated melt-runoff model","","","","","","","","","","","","","","2007","Huss, M., Bauder, A., Werder, M., Funk, M., & Hock, R. (2007). Glacier-dammed lake outburst events of Gornersee, Switzerland. Journal of Glaciology, 53(181), 189-200.","","147643","2516","2005-06-08","Landsat 5","LT05_194028_20050608","2","100255","1966","2005-06-15","Landsat 5","LT05_195028_20050615","1",""
"European Alps","Central Europe","Alps","Austria","Stubacher Sonnenblickkees","RGI60-11.00080","1,188","Unterer Eisbodensee","bedrock","12.60467","47.132987","","2006-07","","","subglacial","","","","","0.1","","","gaged","","","","","","","","","","","","","","","","","","2017","https://www.parcs.at/npa/pdf_public/2018/36488_20180604_080831_200_Wiesenegger_FINAL_6p_pag.pdf","","14717","","2005-10-15","Landsat 5","2005-10-16-00_00_2005-10-16-23_59_Landsat_4-5_TM_L2_False_color","2","7934","","2006-09-09","Landsat 7","2006-09-09-00_00_2006-09-09-23_59_Landsat_7_ETM+_L2_False_color","2",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2006-07-07","","","overtopping","3.7","","","estimated from DEM","10.3","","","gaged – separated from hydrograph","","","","","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","200935","2913","2006-07-05","Landsat 7","LE07_194028_20060705","1","123545","2284","2006-07-20","Landsat 5","LT05_195028_20060720","1",""
"European Alps","Central Europe","Alps","Switzerland","Vadret da l'Alp Ota","RGI60-11.02001","0,152","","water pocket","9.836194","46.415751","Ova de Roseg","2006-07-11","","","","","","","","","","","","","","","","caused death of 1 person","","","","","","","","","","","1","debris flow","2017","Glaciological Report No. 135/136 (2017); Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2007-07-06","","","floatation, overtopping","3.68","","","estimated from DEM","3.99","","","gaged – separated from hydrograph","","","","","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","241616","2981","2007-06-30","Landsat 5","LT05_194028_20070630","1","210082","2813","2007-07-16","Landsat 5","LT05_194028_20070716","1",""
"European Alps","Central Europe","Alps","Switzerland","Lower Grindelwald Glacier","RGI60-11.01346","18.84","","supraglacial","8.045844","46.613937","","2008-05-30","","","","0.8","","","unknown","0.57","","","unknown","111","","","gaged","","","","","","","","","","","","","","2014","Worni, R., Huggel, C., Clague, J. J., Schaub, Y., & Stoffel, M. (2014). Coupling glacial lake impact, dam breach, and flood processes: A modeling perspective. Geomorphology, 224, 161-176.","","60362","1473","2008-05-07","Landsat 7","LE07_194028_20080507","1","44524","1461","2008-06-23","Landsat 5","LT05_195027_20080623","1",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2008-06-20","","","channel enlargement, overtopping","2.69","","","estimated from DEM","2.98","","","gaged – separated from hydrograph","20","","","gaged – separated from hydrograph","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","no image","","","","","","75972","1508","2008-06-23","Landsat 5","LT05_195028_20080623","1",""
"European Alps","Central Europe","Alps","Switzerland","Minstigergletscher","RGI60-11.01576","2.37","","water pocket","8.22","46.52","Minstigerbach","2008-08-21","","","","0.02","","","unknown","0.06","","","","","","","","","","","","","","","","","","","","","2020","Martin Funk- personal comunication with picture + report from canton wallis; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","France","Fond de Chauvet","RGI60-11.03570","0.04","Lac de Chauvet","supraglacial","6.828005","44.553656","","2008-07","2008-07-17","2008-07-21","","","","","","","","","","","","","","","","","","","","","","","Little evidence of erosion/deposition suggests that the sediment transport was limited","","","2 events within 4 days","2023","Cusicanqui, D., Bodin, X., Duvillard, P. A., Schoeneich, P., Revil, A., Assier, A., ... & Rabatel, A. Glacier, permafrost and thermokarst interactions in Alpine terrain. Insights from seven decades of reconstructed dynamics of the Chauvet glacial and periglacial system (Southern French Alps). Earth Surface Processes and Landforms","","13705","","2008-07-17","Landsat 7","2008-07-25-00_00_2008-07-25-23_59_Landsat_4-5_TM_L2_False_color","1","2720","","2008-07-25","Landsat 5","2008-07-25-00_00_2008-07-25-23_59_Landsat_4-5_TM_L2_False_color","2","Area before estimate from image after"
"European Alps","Central Europe","Alps","Switzerland","Hohberggletscher","RGI60-11.02569","3.23","","water pocket","7.82","46.11","Birchbach","2008-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","Canton Wallis; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2009-06-18","","","channel enlargement","1.27","","","estimated from DEM","1.16","","","gaged – separated from hydrograph","20","","","gaged – separated from hydrograph","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","134246","2334","2009-06-18","Landsat 7","LE07_195028_20090618","1","0","0","2009-07-21","Landsat 5","LT05_194028_20090721","1","L7 gaps, snowy"
"European Alps","Central Europe","Alps","Switzerland","Upper Grindelwaldgletscher","RGI60-11.01270","9.02","","water pocket","8.091002","46.618406","Schwarze Lütschine","2009-08-26","","","","","","","","0.03","","","unknown","","","","","2 bridges damaged (70.000 CHF); blockage of the channel & destruction of flood measures (300.000 CHF)","x","","","2","","","","x","","","","rather a water pocket: https://www.raonline.ch/pages/edu/nat/glacier01G01e5.html","2017","Glaciological Report No. 135/136 (2017)","","","","","","","","","","","","","","no subaerial lake visible, renamed to water pocket"
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2010-06-22","","","channel enlargement","5.11","","","estimated from DEM","3.44","","","gaged – separated from hydrograph","30","","","gaged – separated from hydrograph","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","242355","2800","2010-06-22","Landsat 5","LT05_194028_20100622","1","138109","1971","2010-07-08","Landsat 5","LT05_194028_20100708","1",""
"European Alps","Central Europe","Alps","Switzerland","Upper Grindelwaldgletscher","RGI60-11.01270","9.02","","water pocket","8.09","46.62","Schwarze Lütschine","2010-08-26","2010-08-26","2010-08-29","","0.02","","","unknown","","","","","43.8","","","gaged","","","","","","","","","","","","","","2017","Glaciological Report No. 135/136 (2017); Hählen, N. (2011). Oberer Grindelwaldgletscher – Wasserwellen und Geschiebetrieb 25. August bis 13. September 2011. Ereignisbericht und erste Grobanalyse vom 16. Dezember 2011, 31 p. + supplementary. CITED IN Glaciological Report No. 135/136 (2017); Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","","no subaerial lake visible, renamed to water pocket"
"European Alps","Central Europe","Alps","Switzerland","Mälligagletscher","RGI60-11.02557","0.26","","water pocket","8","46.13","Triftbach","2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","coordinates of the glacier","2022","Sarah Lanz 2022: Zusammenstellung und raumzeitliche Analyse von glazialen Wassertaschenausbrüchen in den Schweizer Alpen; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2011-06-07","","","channel enlargement","1.95","","","estimated from DEM","1.79","","","gaged – separated from hydrograph","14","","","gaged – separated from hydrograph","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","142337","2294","2011-05-24","Landsat 5","LT05_194028_20110524","1","8518","358","2011-08-03","Landsat 5","LT05_195028_20110803","1",""
"European Alps","Central Europe","Alps","Switzerland","Upper Grindelwaldgletscher","RGI60-11.01270","9.02","","water pocket","8.09","46.62","Schwarze Lütschine","2011-06-29","2011-06-29","2011-07-07","","","","","","0.01","","","unknown","50","","","gaged","","","","","","","","","","","","","","2017","Glaciological Report No. 135/136 (2017); Hählen, N. (2011). Oberer Grindelwaldgletscher – Wasserwellen und Geschiebetrieb 25. August bis 13. September 2011. Ereignisbericht und erste Grobanalyse vom 16. Dezember 2011, 31 p. + supplementary. CITED IN Glaciological Report No. 135/136 (2017); Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","","no subaerial lake visible, renamed to water pocket"
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2011-07-11","","","","","","","","1.2","","","unknown","","","","","no damage","","","","","","","","","","","","","2017","Glaciological Report No. 135/136 (2017); Hählen, N. (2013). Oberingenieurkreis I Kt. Bern 2013a: Ausbruch Gletschersee Plaine Morte 11. Juli 2011. unpublished report, 3p. CITED IN Glaciological Report No. 135/136 (2017)","","116756","2345","2011-07-02","Landsat 5","LT05_195028_20110702","2","0","0","2011-08-11","Landsat 7","LE07_195028_20110811","1","not sure about after image"
"European Alps","Central Europe","Alps","Switzerland","Upper Grindelwaldgletscher","RGI60-11.01270","9.02","","water pocket","8.091002","46.618406","Schwarze Lütschine","2011-08-25","2011-08-25","2011-08-27","","0.03","0.02","0.04","unknown","0.04","","","unknown","40","","","gaged -- 4min-gaged, baseflow excluded","~ 5M CHF damage","u","","","","","","","","","","","rather a water pocket: https://www.raonline.ch/pages/edu/nat/glacier01G01e5.html","2017","Glaciological Report No. 135/136 (2017); Hählen, N. (2011). Oberer Grindelwaldgletscher – Wasserwellen und Geschiebetrieb 25. August bis 13. September 2011. Ereignisbericht und erste Grobanalyse vom 16. Dezember 2011, 31 p. + supplementary. CITED IN Glaciological Report No. 135/136 (2017); 4min-","","","","","","","","","","","","","","no subaerial lake visible, renamed to water pocket"
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2012-06-21","","","overtopping","2.76","","","estimated from DEM","6.56","","","gaged – separated from hydrograph","","","","","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","166366","","2012-06-16","RapidEye","3260311_2012-06-16_RE1_3A_Analytic_SR_clip","2","6048","","2012-06-30","RapidEye","3260311_2012-06-30_RE1_3A_Analytic_SR_clip","2",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2012-07-10","","","","1.6","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","1.6","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","11.2","","","gaged","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]","","62189","","2012-06-16","RapidEye","3260510_2012-06-16_RE1_3A_Analytic_SR_clip","2","11787","","2012-07-23","RapidEye","3260510_2012-07-23_RE5_3A_Analytic_SR_clip","2",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de Pro","RGI60-11.02972","0.077","","water pocket","7.24","45.89","Perche","2012-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","coordinates of the glacier","2022","Sarah Lanz (2022). Zusammenstellung und raumzeitliche Analyse von glazialen Wassertaschenausbrüchen in den Schweizer Alpen; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2013-06-04","","","overtopping","0.3","","","estimated from DEM","13.24","","","gaged – separated from hydrograph","","","","","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","75418","","2013-06-05","Landsat 8","2013-06-05-00_00_2013-06-05-23_59_Landsat_8-9_L2_False_color","1","14757","","2013-06-14","Landsat 8","2013-06-14-00_00_2013-06-14-23_59_Landsat_8-9_L2_False_color","2","Before image could be an overestimate"
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2013-07-29","","","","1.55","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","1.55","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","16.6","","","gaged","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]","","81103","1875","2013-07-15","Landsat 7","LE07_195028_20130715","2","112723","2292","2013-07-31","Landsat 7","LE07_195028_20130731","2",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2014-06-01","","","overtopping","0.64","","","estimated from DEM","4.31","","","gaged – separated from hydrograph","","","","","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","67914","","2014-06-01","Landsat 8","2014-06-01-00_00_2014-06-01-23_59_Landsat_8-9_L2_False_color","2","13147","","2014-06-08","Landsat 8","2014-06-08-00_00_2014-06-08-23_59_Landsat_8-9_L2_False_color","2",""
"European Alps","Central Europe","Alps","Switzerland","Rottalgletscher (BE)","RGI60-11.01550","4.11","","water pocket","7.928143","46.52357","Rottalbach","2014-07-31","","","","","","","","1.5","1.2","1.8","unknown","","","","","10.000 m³ sediment deposited in the Lütschine river; deposits have been removed to prevent flooding; flood volume reported to range between 1.2-1,8 mil cubic metres","","","","","","","","","","","","","2017","Glaciological Report No. 135/136 (2017) [https://doi.glamos.ch/pubs/glrep/glrep_135-136.pdf]; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2014-08-02","","","","2","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","2","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","18.4","","","gaged","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]","","107521","1973","2014-07-18","Landsat 7","LE07_195028_20140718","2","45603","1373","2014-09-28","Landsat 8","LC08_195028_20140928","1","unsure about after image due to snow"
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","Gornersee","ice","7.8076","45.96856","","2015-05-17","","","overtopping","1.11","","","estimated from DEM","0.5","","","gaged – separated from hydrograph","","","","","","","","","","","","","","","","","","2016","Bianchi, A. (2016). Gornergletscher - Rekonstruktion der alljährlichen Ausbrüche des Gornersees für die Periode 2004-2015. Bachelor Thesis, ETH Zürich, 136 pp.","","80483","","2015-05-18","Landsat 7","2015-05-18-00_00_2015-05-18-23_59_Landsat_7_ETM+_L2_False_color","2","0","0","2015-06-04","Landsat 8","2015-06-04-00_00_2015-06-04-23_59_Landsat_8-9_L2_False_color","2",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2015-07-24","","","","2.2","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","2.2","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","6.8","","","gaged","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]","","135279","2313","2015-07-21","Landsat 7","LE07_195028_20150721","2","25781","1079","2015-08-30","Landsat 8","LC08_195028_20150830","1","unsure about after image due to snow"
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2016-08-27","","","","2.3","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","2.3","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","40.3","","","gaged","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]","","162625","2377","2016-08-24","Landsat 7","LE07_195028_20160824","2","62358","1357","2016-09-09","Landsat 7","LE07_195028_20160909","1",""
"European Alps","Central Europe","Alps","Switzerland","Feegletscher","RGI60-11.02596","7.41","","water pocket","7.878285","46.079748","Feeru Vispa","2017-05-30","","","","","","","","0.3","","","unknown","","","","","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2017-07-17","","","","2.1","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","2.1","","","estimated – computed by intersecting observed lake levels at Lac des Faverges with annual digital elevation models of the ice surface","32.1","","","gaged","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]","","149404","","2017-07-17","Planetscope","629558_3260510_2017-07-17_1006_BGRN_SR_clip","2","0","0","2017-08-01","Planetscope","659918_3260510_2017-08-01_1033_BGRN_SR_clip","2",""
"European Alps","Central Europe","Alps","Switzerland","Findelengletscher","RGI60-11.02773","14.31","","water pocket","7.82","46.1","Findelbach","2017-08-04","","","","","","","","0.02","","","hourly gaged – baseflow excluded","14.9","","","hourly gaged","","","","","","","","","","","","","","2017","GeoPLAN AG (2017) report: UeWa Findelbach.; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Feegletscher","RGI60-11.02596","7.41","","water pocket","7.878285","46.079748","Feeru Vispa","2017-12-17","","","","","","","","0.024","","","unknown","","","","","","","","","","","","","","","","","","2018","Glaciological Report No. 137/138 (2018) [https://doi.glamos.ch/pubs/glrep/glrep_137-138.pdf]; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2018-07-27","","","","2","","","unknown","2","","","unknown","80","","","gaged","roads and buildings damaged in Oberried and Rothenbach","x","","x","","x","","","","","","","","2018","Ancey, C., Bardou, E., Funk, M., Huss, M., Werder, M. A., & Trewhela, T. (2019). Hydraulic reconstruction of the 1818 Giétro glacial lake outburst flood. Water Resources Research, 55(11), 8840-8863.; Einwohnergemeinde Lenk (2018). Schäden im Talboden nach Gletschersee-Ausbruch. (https://gletschersee-lenk.ch/2018/07/)","","84352","1916","2018-06-27","Landsat 7","LE07_195028_20180627","2","82338","1845","2018-07-29","Landsat 7","LE07_195028_20180729","1",""
"European Alps","Central Europe","Alps","Italy","Miage Glacier","RGI60-11.03005","10,986","Lake Miage","ice/moraine","6.871334","45.779394","","2019-08","2019-07-02","2019-08-28","","","","","","0.196","","","estimated using UAV DEM","","","","","","","","","","","","","","","","","drainage occurred in late august","2020","Troilo, F., Segor, V., Perret, P., Bertholin, M., Mondardini, L., & Gottardelli, S. (2020). Analysis of the Miage Glacier Lake GLOFs (Aosta Valley - Italy)., EGU General Assembly 2020, Online, 4–8 May 2020, EGU2020-5454,https://doi.org/10.5194/egusphere-egu2020-5454..","","17598","","2019-07-30","Planetscope","20190804_100339_103d_3B_AnalyticMS_SR_clip","2","0","0","2019-08-04","Planetscope","20190804_100339_103d_3B_AnalyticMS_SR_clip","2",""
"European Alps","Central Europe","Alps","Italy","Miage Glacier","RGI60-11.03005","10,986","Lake Miage","ice/moraine","6.871334","45.779394","","2018-09-25","","","","","","","","0.102","","","estimated","","","","","","","","","","","","","","","","","","2021","Stefaniak, A. M., Robson, B. A., Cook, S. J., Clutterbuck, B., Midgley, N. G., & Labadz, J. C. (2021). Mass balance and surface evolution of the debris-covered Miage Glacier, 1990–2018. Geomorphology, 373, 107474.","","25498","","2018-09-24","Planetscope","1720568_3260208_2018-09-24_1010_BGRN_SR_clip","2","5821","","2018-09-27","Planetscope","1727562_3260208_2018-09-27_0f17_BGRN_SR_clip","2","seems that two adjacent lakes drain"
"European Alps","Central Europe","Alps","Switzerland","Claridenfirn","RGI60-11.00826","1,047","Claridensee","snow","8.871204","46.8565","","2019-06-16","","","breach","","","","","","","","","","","","","no damage","","","","","","","","","","","","","unknown","Matthias Huss","","","","","","","","","","","","","","ice-covered during and after breach"
"European Alps","Central Europe","Alps","Switzerland","Triftgletscher (VS)","RGI60-11.02540","1.787","","water pocket","7.99","46.14","Triftbach","2019-07-26","","","","","","","","","","","","","","","","damage in Zermatt","u","","","","","","","","","","","coordinates of the glacier","2019","GeoPLAN AG (2019): Aufarbeitung Hochwasserereignisse am Triftbach.; swissinfo (2019-07-25). Stream bursts banks and floods Zermatt. (https://www.swissinfo.ch/eng/glacier-meltwater_stream-turns-torrent-and-overflows-banks-in-swiss-resort-of-zermatt/45119612, accessed 2020-08-21); Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Glacier de la Plaine Morte","RGI60-11.02072","7.72","Lac de Faverges","ice","7.539623","46.380339","Simme","2019-08-24","","","","0.5","","","unknown","0.5","","","unknown","","","","","no damage","","","","","","","","","","","","","2019","Einwohnergemeinde Lenk (2019). Gletschersee läuft aus. (https://gletschersee-lenk.ch/gletschersee-laeuft-aus/)","","76726","1588","2019-08-09","Landsat 8","LC08_195028_20190809","1","49111","1819","2019-08-25","Landsat 8","LC08_195028_20190825","1",""
"European Alps","Central Europe","Alps","Switzerland","Gornergletscher","RGI60-11.02822","56.46","New Lake","ice","7.797218","45.974077","","2022-05","2022-05-19","2022-05-26","","1.7","","","estimated using empirical scaling relationship","1.7","","","estimated using empirical scaling relationship","","","","","","","","","","","","","","","","","","2023","Pandey A, Kropáček J (2023). Rapid formation and drainage of a new glacial lake in the Monte Rosa Massif, Swiss Alps, as observed on Sentinel-2 imagery. Annals of Glaciology 1–3. https://doi.org/10.1017/aog.2023.19","","98000","","2022-05-19","Sentinel-2","","2","0","","2022-05-25","Sentinel-2","","2","Lake area mapped by Pandey and Kropacek (2023)"
"European Alps","Central Europe","Alps","Switzerland","Glacier du Tournelon Blanc","RGI60-11.02818","0.405","","water pocket","7.33","45.98","Lac de Mauvoisin","2022-08-27","","","","","","","","","","","","","","","","","x","","","","x","","","","","","","","2022","Canton of Wallis Rapport_evenement_Val de Bagnes_2022-27-08; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"European Alps","Central Europe","Alps","Switzerland","Griesgletscher","RGI60-11.01876","5.29","","water pocket","8.33","46.43","Agene","2023-07-31","","","","","","","","","","","","","","","","no impact","","","","","","","","","","","","coordinates of the glacier; The water pocket is likely due to a temporary blockage of the subglacial channel (no precipitations). Leo H. and Lilian T. were retrieving a temperature sensor in the proglacial stream when they heard a big sound due to the ice blocks flowing down in one affluent of the main proglacial stream. The discharge doubled in few minutes The piece of collapsed ice were well visible in the stream.","2023","Leo Hosli-personal comunication; Christophe Ogier (pers. comm., January 2024)","","","","","","","","","","","","","",""
"Scandinavia","Scandinavia","SW Scandinavia","Norway","Supphellebreen","RGI60-08.01099","12.823","Flatbreen lake","moraine","6.799722","61.475309","","","1700","1800","","","","","","","","","","","","","","farms abandoned","x","x","","","","","","","","","","","2005","Breien, H. (2005). On the dynamics of debris flows: case study Fjærland, Western Norway-a debris flow triggered by a natural dam breach (Master's thesis). CITED IN Jackson, M. & Ragulina, G. (2014). Inventory of Glacier-related hazardous events in Norway. NVE Report 83","","","","","","","","","","","","","",""
"Scandinavia","Scandinavia","SW Scandinavia","Norway","Vetlefjordbreen/Jostefonn (S)","RGI60-08.02017","1.949","Skadevatn","unknown","6.554375","61.401485","","1741-08-14","","","","","","","","","","","","","","","","extensive damage to farmland","x","x","","","","","","","","","","","1988","Grove, J. M. (1988). The little ice age. Methuen, London and New York, pp. 64-107. CITED IN Carrivick, J. L., & Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, 1-16.","","","","","","","","","","","","","",""
